발생위치,구,동,발생규모,파손개수,위도,경도,연도,월,일,일최대기온,일최저기온,일평균기온,일최대습도,일최저습도,일평균습도,일총강수량,인구수,포트홀 위험 지수,osmid,pagerank,kmeans_cluster
대구 중구 봉산동 172-64,중구,봉산동,0.08,1,35.86283319,128.5993512,2022,1,9,8.4,-2.4,2.5791666666666666,83.0,44.0,63.66666666666666,0.0,"4,862",-4.158124127286356,3885802344,3.803002883223904e-05,0
대구 북구 동천동 880-4,북구,동천동,0.04,2,35.93244676,128.5613835,2022,1,9,8.9,-4.0,1.5,83.0,33.0,60.91666666666666,0.0,"27,789",-5.568862945141944,1781712291,3.746124918075807e-05,0
대구 북구 동천동 909-6,북구,동천동,0.12,1,35.9424447,128.5609687,2022,1,9,8.9,-4.0,1.5,83.0,33.0,60.91666666666666,0.0,"27,789",-5.610405822398685,8253990094,2.6926154769676695e-05,0
대구 수성구 대흥동 134-1,수성구,대흥동,0.15,2,35.83291191,128.6858353,2022,1,9,8.2,-4.5,1.3291666666666666,88.0,44.0,66.70833333333333,0.0,"28,659",-4.242365945188082,4377037787,3.255324320708578e-05,0
대구 동구 불로동 1107-1,동구,불로동,0.18,1,35.90600189,128.6277583,2022,1,9,8.5,-4.3,1.6625000000000003,93.0,45.0,71.20833333333333,0.0,"21,225",-3.383293108694263,7712526439,1.8507278575870553e-05,1
대구 수성구 만촌동 1310-2,수성구,만촌동,0.04,2,35.86741993,128.6492786,2022,1,10,9.7,-1.0,4.625,75.0,34.0,50.75,0.0,"22,696",-5.796117598619854,3026956717,3.7020018858160755e-05,0
대구 북구 산격동 545-1,북구,산격동,0.04,2,35.90221019,128.6014305,2022,1,10,9.0,-0.6,4.4625,71.0,31.0,48.04166666666666,0.0,"9,124",-6.410315098694269,7712526314,5.21074948899965e-05,3
대구 동구 신암동 1620,동구,신암동,0.12,5,35.88993371,128.6271635,2022,1,10,9.0,-0.6,4.4625,71.0,31.0,48.04166666666666,0.0,"8,668",-6.284414813037471,436666384,5.679608933848427e-05,3
대구 동구 지묘동 628-3,동구,지묘동,0.06,1,35.96228466,128.6317499,2022,1,10,9.6,-3.0,3.670833333333333,76.0,35.0,51.54166666666666,0.0,"21,639",-5.98700509085147,1934303208,1.6201476611556417e-05,0
대구 수성구 만촌동 1320,수성구,만촌동,0.1,1,35.85848182,128.646974,2022,1,10,9.7,-1.0,4.625,75.0,34.0,50.75,0.0,"22,696",-5.837460025695777,3781815471,2.3804688800930163e-05,0
대구 북구 복현동 539-7,북구,복현동,0.1,2,35.90091183,128.6156965,2022,1,10,9.0,-0.6,4.4625,71.0,31.0,48.04166666666666,0.0,"7,438",-6.394356465617163,4634458100,4.253451828973219e-05,0
대구 중구 대신동 862,중구,대신동,0.03,1,35.86510866,128.5822946,2022,1,10,9.0,-0.6,4.4625,71.0,31.0,48.04166666666666,0.0,"7,780",-6.437755109102517,7119325145,3.270006071851645e-05,0
대구 달서구 본리동 1150,달서구,본리동,0.06,2,35.83935469,128.5456446,2022,1,10,9.7,-1.7,4.129166666666666,72.0,34.0,50.29166666666666,0.0,"20,651",-6.138258175078144,436833680,5.179606273600125e-05,3
대구 남구 대명동 산 186-1,남구,대명동,0.04,2,35.83230183,128.5788562,2022,1,10,9.0,-0.6,4.4625,71.0,31.0,48.04166666666666,0.0,"11,254",-6.4312360744414026,1697029535,1.4527656682123787e-05,0
